experiment,params_changed,replication_id,seed,wall_clock_ms,avg_customer_wait_h,avg_advisor_wait_h,avg_queue_delay_h,avg_parts_delay_h,avg_service_time_h,shop_tech_util,shop_bay_util,jobs_completed,analytical_rho,analytical_wq_h,util_rel_error,wq_rel_error,validation_ok
baseline,defaults,1,42,94,0.393459,0.000000,0.009922,0.041261,0.342275,0.467776,0.467776,41,0.666667,0.222222,0.298335,0.955350,false
baseline,defaults,2,43,12,0.742483,0.000000,0.310351,0.054941,0.377191,0.578360,0.578360,46,0.666667,0.222222,0.132460,0.396581,false
baseline,defaults,3,44,3,0.366888,0.000000,0.017557,0.000000,0.349331,0.279464,0.279464,24,0.666667,0.222222,0.580803,0.920992,false
baseline,defaults,4,45,6,0.400023,0.000000,0.008366,0.000000,0.391657,0.509154,0.509154,39,0.666667,0.222222,0.236269,0.962353,false
baseline,defaults,5,46,3,0.315576,0.000000,0.004411,0.015617,0.295547,0.344805,0.344805,35,0.666667,0.222222,0.482793,0.980149,false
baseline,defaults,6,47,3,0.295339,0.000000,0.004589,0.000000,0.290750,0.319825,0.319825,33,0.666667,0.222222,0.520262,0.979350,false
baseline,defaults,7,48,7,0.387744,0.000000,0.017537,0.036191,0.334017,0.411954,0.411954,37,0.666667,0.222222,0.382069,0.921085,false
baseline,defaults,8,49,7,0.505678,0.000613,0.143966,0.000000,0.361099,0.541648,0.541648,45,0.666667,0.222222,0.187528,0.352154,false
baseline,defaults,9,50,2,0.252971,0.000000,0.001081,0.000000,0.251889,0.243493,0.243493,29,0.666667,0.222222,0.634760,0.995133,false
baseline,defaults,10,51,3,0.366346,0.000000,0.009214,0.006265,0.350867,0.491214,0.491214,42,0.666667,0.222222,0.263179,0.958539,false
baseline,defaults,11,52,3,0.419140,0.000000,0.026056,0.049219,0.343865,0.424100,0.424100,37,0.666667,0.222222,0.363850,0.882748,false
baseline,defaults,12,53,3,0.278666,0.000000,0.004046,0.000000,0.274620,0.329543,0.329543,36,0.666667,0.222222,0.505685,0.981792,false
baseline,defaults,13,54,4,0.399716,0.000000,0.021099,0.032491,0.346126,0.426889,0.426889,37,0.666667,0.222222,0.359667,0.905052,false
baseline,defaults,14,55,2,0.301438,0.000000,0.035908,0.000000,0.265530,0.362891,0.362891,41,0.666667,0.222222,0.455663,0.838414,false
baseline,defaults,15,56,3,0.563507,0.000000,0.184934,0.000000,0.378573,0.618336,0.618336,49,0.666667,0.222222,0.072497,0.167797,false
baseline,defaults,16,57,3,0.425298,0.000000,0.032341,0.012539,0.380417,0.380417,0.380417,30,0.666667,0.222222,0.429374,0.854463,false
baseline,defaults,17,58,2,0.421494,0.000000,0.037933,0.000000,0.383562,0.536986,0.536986,42,0.666667,0.222222,0.194521,0.829303,false
baseline,defaults,18,59,2,0.330430,0.000000,0.009691,0.000000,0.320739,0.363504,0.363504,34,0.666667,0.222222,0.454743,0.956391,false
baseline,defaults,19,60,2,0.328175,0.000000,0.021936,0.012968,0.293271,0.361701,0.361701,37,0.666667,0.222222,0.457449,0.901287,false
baseline,defaults,20,61,3,0.424268,0.001211,0.107358,0.000000,0.315699,0.463025,0.463025,44,0.666667,0.222222,0.305462,0.516889,false
baseline,defaults,21,62,2,0.341240,0.000000,0.004476,0.000000,0.336764,0.336764,0.336764,30,0.666667,0.222222,0.494853,0.979858,false
baseline,defaults,22,63,4,0.309898,0.000000,0.016559,0.039007,0.254332,0.398453,0.398453,47,0.666667,0.222222,0.402320,0.925484,false
baseline,defaults,23,64,4,0.393952,0.000000,0.051923,0.000000,0.342028,0.513043,0.513043,45,0.666667,0.222222,0.230436,0.766346,false
baseline,defaults,24,65,2,0.579243,0.000000,0.101066,0.080873,0.397303,0.450277,0.450277,34,0.666667,0.222222,0.324585,0.545202,false
baseline,defaults,25,66,2,0.544054,0.000000,0.074863,0.115685,0.353505,0.459556,0.459556,39,0.666667,0.222222,0.310665,0.663115,false
baseline,defaults,26,67,2,0.402622,0.002024,0.083663,0.000000,0.316935,0.433144,0.433144,41,0.666667,0.222222,0.350283,0.623516,false
baseline,defaults,27,68,2,0.411314,0.000000,0.012759,0.129263,0.269292,0.323150,0.323150,36,0.666667,0.222222,0.515275,0.942582,false
baseline,defaults,28,69,2,0.388625,0.000000,0.009626,0.000000,0.378998,0.454798,0.454798,36,0.666667,0.222222,0.317803,0.956682,false
baseline,defaults,29,70,2,0.492638,0.000000,0.111564,0.000000,0.381074,0.419181,0.419181,33,0.666667,0.222222,0.371228,0.497962,false
baseline,defaults,30,71,3,0.338732,0.000000,0.015191,0.044353,0.279188,0.362944,0.362944,39,0.666667,0.222222,0.455584,0.931638,false
sens_lambda_2,arrivalRate=2.0,1,42,1,0.381437,0.000000,0.011640,0.000000,0.369797,0.221878,0.221878,18,0.333333,0.022727,0.334366,0.487850,false
sens_lambda_2,arrivalRate=2.0,2,43,0,0.354887,0.000000,0.010540,0.000000,0.344347,0.321391,0.321391,28,0.333333,0.022727,0.035827,0.536247,false
sens_lambda_2,arrivalRate=2.0,3,44,1,0.413167,0.000000,0.004665,0.000000,0.408502,0.204251,0.204251,15,0.333333,0.022727,0.387247,0.794732,false
sens_lambda_2,arrivalRate=2.0,4,45,1,0.327579,0.000000,0.000000,0.000000,0.327579,0.207467,0.207467,19,0.333333,0.022727,0.377600,1.000000,false
sens_lambda_2,arrivalRate=2.0,5,46,1,0.343844,0.000000,0.000000,0.000000,0.343844,0.194845,0.194845,17,0.333333,0.022727,0.415465,1.000000,false
sens_lambda_2,arrivalRate=2.0,6,47,1,0.255628,0.000000,0.000000,0.000000,0.255628,0.161898,0.161898,19,0.333333,0.022727,0.514306,1.000000,false
sens_lambda_2,arrivalRate=2.0,7,48,1,0.310035,0.000000,0.002883,0.000000,0.307152,0.184291,0.184291,18,0.333333,0.022727,0.447126,0.873164,false
sens_lambda_2,arrivalRate=2.0,8,49,1,0.355134,0.000000,0.003868,0.000000,0.351266,0.222469,0.222469,19,0.333333,0.022727,0.332594,0.829805,false
sens_lambda_2,arrivalRate=2.0,9,50,1,0.349508,0.000000,0.000000,0.000000,0.349508,0.209705,0.209705,18,0.333333,0.022727,0.370886,1.000000,false
sens_lambda_2,arrivalRate=2.0,10,51,2,0.404546,0.000000,0.000000,0.002050,0.402497,0.321997,0.321997,24,0.333333,0.022727,0.034008,1.000000,false
