experiment,metric,n,mean,std_dev,min,max,ci95_low,ci95_high
baseline,avg_customer_wait_h,30,0.404032,0.103459,0.252971,0.742483,0.367010,0.441054
baseline,shop_tech_util,30,0.420213,0.088848,0.243493,0.618336,0.388419,0.452007
baseline,avg_parts_delay_h,30,0.022356,0.034862,0.000000,0.129263,0.009881,0.034831
baseline,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
baseline,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
baseline,avg_queue_delay_h,30,0.049666,0.067953,0.001081,0.310351,0.025350,0.073983
sens_lambda_2,avg_customer_wait_h,30,0.341012,0.057301,0.247970,0.496573,0.320508,0.361517
sens_lambda_2,shop_tech_util,30,0.212426,0.053762,0.088078,0.321997,0.193188,0.231665
sens_lambda_2,avg_parts_delay_h,30,0.003131,0.015339,0.000000,0.083965,-0.002358,0.008620
sens_lambda_2,jobs_completed,30,19.100000,3.679861,10.000000,28.000000,17.783179,20.416821
sens_lambda_2,avg_advisor_wait_h,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sens_lambda_2,avg_queue_delay_h,30,0.005253,0.011456,0.000000,0.049509,0.001154,0.009353
sens_lambda_6,avg_customer_wait_h,30,0.501488,0.166424,0.316629,1.106612,0.441934,0.561042
sens_lambda_6,shop_tech_util,30,0.621115,0.095893,0.470905,0.856362,0.586801,0.655430
sens_lambda_6,avg_parts_delay_h,30,0.037506,0.054504,0.000000,0.202258,0.018002,0.057010
sens_lambda_6,jobs_completed,30,57.133333,5.739959,41.000000,66.000000,55.079315,59.187351
sens_lambda_6,avg_advisor_wait_h,30,0.000173,0.000463,0.000000,0.002445,0.000007,0.000338
sens_lambda_6,avg_queue_delay_h,30,0.137586,0.146702,0.016324,0.685593,0.085089,0.190083
sens_lambda_8,avg_customer_wait_h,30,0.692663,0.286801,0.323754,1.300534,0.590033,0.795293
sens_lambda_8,shop_tech_util,30,0.787760,0.122150,0.567474,1.010266,0.744050,0.831471
sens_lambda_8,avg_parts_delay_h,30,0.047039,0.075026,0.000000,0.350738,0.020191,0.073887
sens_lambda_8,jobs_completed,30,73.700000,7.139738,59.000000,88.000000,71.145077,76.254923
sens_lambda_8,avg_advisor_wait_h,30,0.000424,0.000610,0.000000,0.002502,0.000206,0.000643
sens_lambda_8,avg_queue_delay_h,30,0.324269,0.249225,0.049080,0.936109,0.235085,0.413453
sens_techs_2,avg_customer_wait_h,30,0.542766,0.242871,0.312103,1.239312,0.455856,0.629677
sens_techs_2,shop_tech_util,30,0.628177,0.149288,0.298576,0.933914,0.574754,0.681599
sens_techs_2,avg_parts_delay_h,30,0.013754,0.018612,0.000000,0.060027,0.007094,0.020414
sens_techs_2,jobs_completed,30,38.100000,6.315553,19.000000,50.000000,35.840008,40.359992
sens_techs_2,avg_advisor_wait_h,30,0.000003,0.000017,0.000000,0.000092,-0.000003,0.000009
sens_techs_2,avg_queue_delay_h,30,0.200311,0.203553,0.006797,0.755795,0.127470,0.273151
sens_techs_4,avg_customer_wait_h,30,0.361939,0.061380,0.259418,0.508077,0.339974,0.383903
sens_techs_4,shop_tech_util,30,0.323920,0.065617,0.219940,0.530889,0.300440,0.347401
sens_techs_4,avg_parts_delay_h,30,0.025820,0.043414,0.000000,0.206058,0.010284,0.041355
sens_techs_4,jobs_completed,30,39.366667,6.042855,29.000000,60.000000,37.204259,41.529074
sens_techs_4,avg_advisor_wait_h,30,0.000002,0.000010,0.000000,0.000052,-0.000002,0.000005
sens_techs_4,avg_queue_delay_h,30,0.006934,0.008301,0.000000,0.029657,0.003963,0.009904
sens_techs_5,avg_customer_wait_h,30,0.356318,0.047973,0.267573,0.479762,0.339152,0.373485
sens_techs_5,shop_tech_util,30,0.263668,0.049114,0.186615,0.365755,0.246093,0.281244
sens_techs_5,avg_parts_delay_h,30,0.016282,0.034988,0.000000,0.168930,0.003761,0.028802
sens_techs_5,jobs_completed,30,38.833333,5.736053,28.000000,48.000000,36.780713,40.885953
sens_techs_5,avg_advisor_wait_h,30,0.000000,0.000000,0.000000,0.000002,-0.000000,0.000000
sens_techs_5,avg_queue_delay_h,30,0.000684,0.001467,0.000000,0.007126,0.000159,0.001209
sens_mu_1.5,avg_customer_wait_h,30,0.566926,0.150979,0.345861,1.018234,0.512899,0.620954
sens_mu_1.5,shop_tech_util,30,0.550280,0.112389,0.324657,0.752887,0.510062,0.590498
sens_mu_1.5,avg_parts_delay_h,30,0.018609,0.037854,0.000000,0.195856,0.005063,0.032155
sens_mu_1.5,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
sens_mu_1.5,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
sens_mu_1.5,avg_queue_delay_h,30,0.112580,0.122785,0.010009,0.548281,0.068642,0.156518
sens_mu_2.5,avg_customer_wait_h,30,0.318879,0.069137,0.201511,0.546366,0.294138,0.343619
sens_mu_2.5,shop_tech_util,30,0.338016,0.070640,0.194794,0.480777,0.312738,0.363295
sens_mu_2.5,avg_parts_delay_h,30,0.031744,0.049330,0.000000,0.193480,0.014091,0.049396
sens_mu_2.5,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
sens_mu_2.5,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
sens_mu_2.5,avg_queue_delay_h,30,0.019948,0.023222,0.000000,0.079026,0.011638,0.028258
sens_advisors_1,avg_customer_wait_h,30,0.414764,0.070887,0.260218,0.600158,0.389398,0.440130
sens_advisors_1,shop_tech_util,30,0.415903,0.080522,0.241108,0.561789,0.387088,0.444717
sens_advisors_1,avg_parts_delay_h,30,0.013273,0.019356,0.000000,0.054670,0.006347,0.020200
sens_advisors_1,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
sens_advisors_1,avg_advisor_wait_h,30,0.045274,0.029111,0.010797,0.153304,0.034857,0.055691
sens_advisors_1,avg_queue_delay_h,30,0.027176,0.034789,0.000000,0.123404,0.014727,0.039625
sens_advisors_2,avg_customer_wait_h,30,0.397230,0.090591,0.252971,0.579243,0.364813,0.429648
sens_advisors_2,shop_tech_util,30,0.417148,0.086252,0.243493,0.618336,0.386283,0.448013
sens_advisors_2,avg_parts_delay_h,30,0.019671,0.034213,0.000000,0.127148,0.007428,0.031914
sens_advisors_2,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
sens_advisors_2,avg_advisor_wait_h,30,0.003406,0.003124,0.000000,0.012437,0.002288,0.004524
sens_advisors_2,avg_queue_delay_h,30,0.044377,0.053674,0.001081,0.209152,0.025170,0.063584
sens_parts_lead_0.5,avg_customer_wait_h,30,0.383658,0.098525,0.252971,0.710850,0.348401,0.418915
sens_parts_lead_0.5,shop_tech_util,30,0.419818,0.088693,0.243493,0.618336,0.388080,0.451557
sens_parts_lead_0.5,avg_parts_delay_h,30,0.001785,0.005016,0.000000,0.021718,-0.000010,0.003580
sens_parts_lead_0.5,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
sens_parts_lead_0.5,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
sens_parts_lead_0.5,avg_queue_delay_h,30,0.050129,0.071327,0.001081,0.334500,0.024605,0.075653
sens_parts_lead_4,avg_customer_wait_h,30,0.465299,0.151071,0.278666,1.008794,0.411239,0.519359
sens_parts_lead_4,shop_tech_util,30,0.422086,0.088046,0.252758,0.618336,0.390579,0.453593
sens_parts_lead_4,avg_parts_delay_h,30,0.081161,0.104375,0.000000,0.350170,0.043811,0.118511
sens_parts_lead_4,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
sens_parts_lead_4,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
sens_parts_lead_4,avg_queue_delay_h,30,0.050386,0.065919,0.001831,0.314256,0.026797,0.073975
scenario_peak,avg_customer_wait_h,30,0.692663,0.286801,0.323754,1.300534,0.590033,0.795293
scenario_peak,shop_tech_util,30,0.787760,0.122150,0.567474,1.010266,0.744050,0.831471
scenario_peak,avg_parts_delay_h,30,0.047039,0.075026,0.000000,0.350738,0.020191,0.073887
scenario_peak,jobs_completed,30,73.700000,7.139738,59.000000,88.000000,71.145077,76.254923
scenario_peak,avg_advisor_wait_h,30,0.000424,0.000610,0.000000,0.002502,0.000206,0.000643
scenario_peak,avg_queue_delay_h,30,0.324269,0.249225,0.049080,0.936109,0.235085,0.413453
scenario_understaffed,avg_customer_wait_h,30,0.545382,0.223392,0.315957,1.088874,0.465442,0.625322
scenario_understaffed,shop_tech_util,30,0.615978,0.138177,0.303117,0.847637,0.566532,0.665424
scenario_understaffed,avg_parts_delay_h,30,0.023393,0.026183,0.000000,0.091327,0.014024,0.032763
scenario_understaffed,jobs_completed,30,38.100000,6.315553,19.000000,50.000000,35.840008,40.359992
scenario_understaffed,avg_advisor_wait_h,30,0.039053,0.026293,0.005401,0.139328,0.029644,0.048462
scenario_understaffed,avg_queue_delay_h,30,0.160257,0.179970,0.007664,0.645391,0.095855,0.224658
scenario_parts_stress,avg_customer_wait_h,30,1.270852,0.576666,0.335526,2.934377,1.064495,1.477209
scenario_parts_stress,shop_tech_util,30,0.427978,0.090943,0.236477,0.634826,0.395434,0.460521
scenario_parts_stress,avg_parts_delay_h,30,0.869628,0.563751,0.011486,2.514643,0.667892,1.071363
scenario_parts_stress,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
scenario_parts_stress,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
scenario_parts_stress,avg_queue_delay_h,30,0.062735,0.052999,0.003091,0.211674,0.043770,0.081700
scenario_ideal_capacity,avg_customer_wait_h,30,0.356318,0.047973,0.267573,0.479762,0.339152,0.373485
scenario_ideal_capacity,shop_tech_util,30,0.263668,0.049114,0.186615,0.365755,0.246093,0.281244
scenario_ideal_capacity,avg_parts_delay_h,30,0.016282,0.034988,0.000000,0.168930,0.003761,0.028802
scenario_ideal_capacity,jobs_completed,30,38.833333,5.736053,28.000000,48.000000,36.780713,40.885953
scenario_ideal_capacity,avg_advisor_wait_h,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
scenario_ideal_capacity,avg_queue_delay_h,30,0.000684,0.001467,0.000000,0.007126,0.000159,0.001209
val_extreme_low_arrival,avg_customer_wait_h,30,0.227538,0.210972,0.000000,0.786177,0.152042,0.303033
val_extreme_low_arrival,shop_tech_util,30,0.023526,0.021958,0.000000,0.078618,0.015668,0.031384
val_extreme_low_arrival,avg_parts_delay_h,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
val_extreme_low_arrival,jobs_completed,30,0.966667,1.033352,0.000000,5.000000,0.596886,1.336447
val_extreme_low_arrival,avg_advisor_wait_h,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
val_extreme_low_arrival,avg_queue_delay_h,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
val_extreme_overload,avg_customer_wait_h,30,5.997555,1.323813,3.828198,9.055978,5.523835,6.471276
val_extreme_overload,shop_tech_util,30,2.090205,0.260912,1.650379,2.742159,1.996839,2.183571
val_extreme_overload,avg_parts_delay_h,30,0.123577,0.112983,0.001215,0.439621,0.083146,0.164007
val_extreme_overload,jobs_completed,30,195.000000,12.429109,176.000000,228.000000,190.552300,199.447700
val_extreme_overload,avg_advisor_wait_h,30,0.016006,0.010815,0.002634,0.046541,0.012136,0.019877
val_extreme_overload,avg_queue_delay_h,30,5.536402,1.315114,3.499587,8.624362,5.065795,6.007010
val_extreme_one_tech,avg_customer_wait_h,30,2.613290,2.053811,0.398777,7.348881,1.878343,3.348237
val_extreme_one_tech,shop_tech_util,30,1.322628,0.429093,0.831411,2.409912,1.169079,1.476177
val_extreme_one_tech,avg_parts_delay_h,30,0.007006,0.012229,0.000000,0.037762,0.002630,0.011382
val_extreme_one_tech,jobs_completed,30,39.066667,5.551846,29.000000,49.000000,37.079964,41.053369
val_extreme_one_tech,avg_advisor_wait_h,30,0.000000,0.000000,0.000000,0.000002,-0.000000,0.000000
val_extreme_one_tech,avg_queue_delay_h,30,2.271238,1.986807,0.131956,6.846180,1.560268,2.982207
val_instant_parts,avg_customer_wait_h,30,0.383145,0.098404,0.252971,0.710850,0.347932,0.418359
val_instant_parts,shop_tech_util,30,0.420939,0.089282,0.243493,0.618336,0.388990,0.452889
val_instant_parts,avg_parts_delay_h,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
val_instant_parts,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
val_instant_parts,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
val_instant_parts,avg_queue_delay_h,30,0.050507,0.071380,0.001081,0.334500,0.024964,0.076050
