experiment,metric,n,mean,std_dev,min,max,ci95_low,ci95_high
baseline,avg_customer_wait_h,30,0.404032,0.103459,0.252971,0.742483,0.367010,0.441054
baseline,avg_advisor_wait_h,30,0.000128,0.000433,0.000000,0.002024,-0.000027,0.000283
baseline,avg_queue_delay_h,30,0.049666,0.067953,0.001081,0.310351,0.025350,0.073983
baseline,avg_parts_delay_h,30,0.022356,0.034862,0.000000,0.129263,0.009881,0.034831
baseline,avg_service_time_h,30,0.331881,0.044032,0.251889,0.397303,0.316125,0.347638
baseline,shop_tech_util,30,0.420213,0.088848,0.243493,0.618336,0.388419,0.452007
baseline,shop_bay_util,30,0.420213,0.088848,0.243493,0.618336,0.388419,0.452007
baseline,jobs_completed,30,37.933333,5.794964,24.000000,49.000000,35.859632,40.007035
baseline,analytical_rho,30,0.666667,0.000000,0.666667,0.666667,0.666667,0.666667
baseline,util_rel_error,30,0.369680,0.133272,0.072497,0.634760,0.321989,0.417371
